,UTCDateTime,Pressao (mB),Temperatura (°C),Umidade (%),ur_correnteMotor,UR_KWH,UR_KWh_TR,UR_TEMP_ENTRADA,UR_TEMP_SAIDA,ur_temp_entrada_condensacao,ur_temp_saida_condensacao,temp_externa,TR,delta_AG,delta_AC,FimDeSemana,HorarioComercial,VAG Predio,Ligados
775,2023-06-21 21:30:00,1015.45,21.450000000000003,66.0,46.900001525878906,94.0,0.37579646706581116,13.199999809265137,8.300000190734863,25.100000381469727,27.0,24.19942283630371,250.13540104286903,4.899999618530273,1.8999996185302734,0,0,34.211043905880715,77.77777777777777
776,2023-06-21 22:00:00,1015.7,21.6,67.0,37.20000076293945,62.0,0.32611414790153503,13.199999809265137,7.5,25.100000381469727,26.799999237060547,24.19942283630371,190.1174800264106,5.699999809265137,1.6999988555908203,0,0,33.14600619177023,77.77777777777777
777,2023-06-21 22:30:00,1015.95,21.75,62.5,35.79999923706055,68.0,0.3778623044490814,13.199999809265137,6.900000095367432,25.200000762939453,26.899999618530273,24.04993438720703,179.9597345364819,6.299999713897705,1.6999988555908203,0,0,31.948833622866207,77.77777777777777
778,2023-06-21 23:00:00,1016.2,21.6,59.0,38.599998474121094,75.0,0.5115903615951538,13.0,7.199999809265137,25.200000762939453,26.700000762939453,23.901344299316406,146.60166733037696,5.800000190734863,1.5,0,0,32.01018419696225,77.77777777777777
779,2023-06-21 23:30:00,1016.25,21.5,60.0,26.299999237060547,50.0,0.29693087935447693,12.699999809265137,7.199999809265137,25.100000381469727,26.799999237060547,23.752025604248047,168.38935751208905,5.5,1.6999988555908203,0,0,29.580238251222504,72.22222222222223
780,2023-06-22 00:00:00,1016.3,21.4,59.0,38.400001525878906,73.0,0.37148967385292053,12.199999809265137,7.699999809265137,24.799999237060547,26.5,23.60321807861328,196.50613499664064,4.5,1.7000007629394531,0,0,29.68045360677772,72.22222222222223
781,2023-06-22 00:30:00,1016.3499999999999,21.15,60.0,36.79999923706055,70.0,0.3546251952648163,12.199999809265137,7.199999809265137,24.200000762939453,25.799999237060547,23.454553604125977,197.39150216816242,5.0,1.5999984741210938,0,0,27.434035686983,66.66666666666667
782,2023-06-22 01:00:00,1016.3,20.9,62.0,37.400001525878906,71.0,0.3931303024291992,12.199999809265137,7.199999809265137,24.200000762939453,25.5,23.30584144592285,180.60169760835657,5.0,1.2999992370605469,0,0,27.579223594731754,66.66666666666667
783,2023-06-22 01:30:00,1016.2,20.75,63.0,27.299999237060547,54.0,0.40870246291160583,12.300000190734863,7.699999809265137,24.200000762939453,25.5,23.15729522705078,132.12545776040287,4.600000381469727,1.2999992370605469,0,0,25.993208158347343,63.888888888888886
784,2023-06-22 02:00:00,1016.2,20.6,64.0,30.0,59.0,0.4431445896625519,12.199999809265137,6.900000095367432,24.200000762939453,25.600000381469727,23.15729522705078,133.1393892113805,5.299999713897705,1.3999996185302734,0,0,25.470657734407318,63.888888888888886
